time_step,source_neuron_1,source_neuron_2,neuron_distance,uniq_s1,uniq_s2,redun_s1_s2,syn_s1_s2,overlapping
19,161,226,0.32751119,0.106296232,0.097544749,0.012803432,0.273907366,0.096485649
20,161,226,0.32751119,0.121335153,0.101259481,0.019285666,0.206088123,0.096485649
21,161,226,0.32751119,0.107568189,0.141102992,0.008120805,0.158910036,0.096485649
22,161,226,0.32751119,0.075046052,0.052470697,0.009305166,0.233328634,0.096485649
23,161,226,0.32751119,0.098752217,0.109028265,0.017620583,0.224755808,0.096485649
24,161,226,0.32751119,0.113061692,0.107789243,0.022721803,0.187251881,0.096485649
25,161,226,0.32751119,0.1043111,0.088684594,0.009390766,0.160267634,0.096485649
9,85,125,0.20707084,0.143218188,0.100462975,0.016009815,0.164203987,0.161013237
10,85,125,0.20707084,0.102919808,0.072307324,0.014666718,0.208584482,0.161013237
11,85,125,0.20707084,0.093646973,0.068443691,0.018632206,0.214840438,0.161013237
12,85,125,0.20707084,0.134731424,0.111146345,0.015636131,0.207115265,0.161013237
13,85,125,0.20707084,0.105135794,0.093701202,0.012255347,0.181695539,0.161013237
14,85,125,0.20707084,0.084935503,0.123695779,0.020173288,0.211511472,0.161013237
15,85,125,0.20707084,0.091933636,0.106021508,0.008460356,0.193439587,0.161013237
16,85,125,0.20707084,0.12599191,0.094630273,0.015924702,0.153798157,0.161013237
17,85,125,0.20707084,0.10514721,0.138910045,0.024770066,0.154726268,0.161013237
18,85,125,0.20707084,0.102664722,0.102492593,0.020803859,0.181764783,0.161013237
19,85,125,0.20707084,0.10215677,0.095177806,0.015008451,0.154023756,0.161013237
20,85,125,0.20707084,0.096686485,0.14592976,0.012243679,0.214790573,0.161013237
21,85,125,0.20707084,0.119285755,0.098827808,0.007558822,0.205654383,0.161013237
22,85,125,0.20707084,0.099309624,0.104454158,0.01671273,0.190202546,0.161013237
23,85,125,0.20707084,0.107247577,0.13459018,0.021749674,0.163137112,0.161013237
24,85,125,0.20707084,0.114165103,0.130569261,0.011729123,0.146312809,0.161013237
25,85,125,0.20707084,0.125676024,0.114815102,0.012833725,0.205234626,0.161013237
9,194,242,0.63500741,0.098016223,0.111602561,0.015986587,0.2131439,0
10,194,242,0.63500741,0.089621438,0.138556697,0.010318064,0.166387497,0
11,194,242,0.63500741,0.137984597,0.06812043,0.025036249,0.260006048,0
12,194,242,0.63500741,0.067011577,0.103703085,0.012272927,0.232862021,0
13,194,242,0.63500741,0.08089521,0.102056899,0.01683641,0.232991082,0
14,194,242,0.63500741,0.076819671,0.116542063,0.011896304,0.226836152,0
15,194,242,0.63500741,0.080435367,0.095515964,0.040616816,0.236277194,0
16,194,242,0.63500741,0.119149572,0.143243735,0.01606697,0.187441632,0
17,194,242,0.63500741,0.124212009,0.115046997,0.022154084,0.250137271,0
18,194,242,0.63500741,0.110111162,0.115890289,0.015073569,0.222317824,0
19,194,242,0.63500741,0.083213595,0.09968148,0.009787706,0.168580083,0
20,194,242,0.63500741,0.098992161,0.125411558,0.023974121,0.182506128,0
21,194,242,0.63500741,0.089979635,0.099411786,0.011327463,0.236396152,0
22,194,242,0.63500741,0.102538198,0.123589672,0.013680206,0.173272566,0
23,194,242,0.63500741,0.114363064,0.080993427,0.009794529,0.211547535,0
24,194,242,0.63500741,0.115029528,0.081859755,0.017349701,0.190594949,0
25,194,242,0.63500741,0.089586571,0.074838383,0.009494798,0.205994518,0
9,107,285,1.04811357,0.085556908,0.082031655,0.019536353,0.221617845,0
10,107,285,1.04811357,0.121500599,0.103194464,0.016865123,0.217039806,0
11,107,285,1.04811357,0.095128711,0.105844765,0.021889702,0.19964805,0
12,107,285,1.04811357,0.062244472,0.114631796,0.013825251,0.180775714,0
13,107,285,1.04811357,0.089008894,0.111021954,0.019354603,0.179646554,0
14,107,285,1.04811357,0.089061574,0.136398781,0.008710279,0.227902659,0
15,107,285,1.04811357,0.100600325,0.102558429,0.017654802,0.272675836,0
16,107,285,1.04811357,0.105633985,0.089887267,0.012990797,0.195866003,0
17,107,285,1.04811357,0.095335625,0.137961033,0.011811616,0.179309361,0
18,107,285,1.04811357,0.101298088,0.123057291,0.015958518,0.186662412,0
19,107,285,1.04811357,0.10038769,0.102259416,0.009574666,0.213726756,0
20,107,285,1.04811357,0.08328462,0.108100375,0.018316999,0.208357997,0
21,107,285,1.04811357,0.093984361,0.096273026,0.017863369,0.234072458,0
22,107,285,1.04811357,0.10794474,0.127460244,0.012599283,0.203719633,0
23,107,285,1.04811357,0.128850336,0.117113873,0.012978516,0.225195904,0
24,107,285,1.04811357,0.123235226,0.098544148,0.008284888,0.196640852,0
25,107,285,1.04811357,0.057514997,0.090259591,0.007810289,0.217049934,0
9,14,117,0.06795223,0.114684729,0.089114917,0.017098429,0.223098513,0.242059326
10,14,117,0.06795223,0.093520045,0.079519508,0.007196037,0.191309426,0.242059326
11,14,117,0.06795223,0.082294555,0.105194961,0.021353317,0.186043803,0.242059326
12,14,117,0.06795223,0.107912539,0.113331375,0.030403611,0.240464262,0.242059326
13,14,117,0.06795223,0.071826501,0.136601489,0.028461792,0.233483943,0.242059326
14,14,117,0.06795223,0.107307714,0.092935103,0.014505173,0.143718879,0.242059326
15,14,117,0.06795223,0.093420665,0.108018442,0.020217315,0.198211839,0.242059326
16,14,117,0.06795223,0.096149336,0.088236943,0.017094768,0.260584217,0.242059326
17,14,117,0.06795223,0.08826059,0.104526366,0.012406422,0.212596934,0.242059326
18,14,117,0.06795223,0.104590288,0.083376479,0.03096075,0.20303732,0.242059326
19,14,117,0.06795223,0.11888946,0.114030624,0.008462131,0.195468232,0.242059326
20,14,117,0.06795223,0.075966698,0.113867362,0.01206298,0.194838843,0.242059326
21,14,117,0.06795223,0.096977127,0.084721782,0.01601468,0.244199481,0.242059326
22,14,117,0.06795223,0.08778648,0.123847668,0.013160226,0.233065949,0.242059326
23,14,117,0.06795223,0.096107765,0.138670113,0.013630179,0.210250575,0.242059326
24,14,117,0.06795223,0.084461546,0.08218248,0.021292525,0.220091475,0.242059326
25,14,117,0.06795223,0.0906921,0.124330528,0.006269876,0.19540572,0.242059326
9,55,153,0.85026102,0.098062192,0.092505452,0.009784549,0.209866798,0
10,55,153,0.85026102,0.117390232,0.081525951,0.015713804,0.208320576,0
11,55,153,0.85026102,0.137226938,0.087968293,0.016786823,0.216893157,0
12,55,153,0.85026102,0.128608022,0.123781097,0.017620297,0.238836977,0
13,55,153,0.85026102,0.082209132,0.098969878,0.019677121,0.165263403,0
14,55,153,0.85026102,0.119607194,0.124530055,0.011021139,0.191876872,0
15,55,153,0.85026102,0.101644975,0.108227655,0.019024393,0.209610474,0
16,55,153,0.85026102,0.137008971,0.098227086,0.013533957,0.22624496,0
17,55,153,0.85026102,0.11452054,0.101553063,0.012198316,0.210225126,0
18,55,153,0.85026102,0.11667041,0.08403347,0.01123711,0.205034383,0
19,55,153,0.85026102,0.112549866,0.09600034,0.008028309,0.195131878,0
20,55,153,0.85026102,0.071749006,0.096731858,0.013242642,0.209275957,0
21,55,153,0.85026102,0.134791033,0.088939626,0.016843557,0.190936056,0
22,55,153,0.85026102,0.10242908,0.091342322,0.023960746,0.156265662,0
23,55,153,0.85026102,0.11304025,0.080232222,0.012384398,0.231351504,0
24,55,153,0.85026102,0.092085163,0.112861862,0.014551303,0.172917465,0
25,55,153,0.85026102,0.126782085,0.118702115,0.022966967,0.19005294,0
9,72,94,0.61950879,0.062652902,0.060739644,0.007663728,0.188937249,0
10,72,94,0.61950879,0.128046588,0.103586348,0.008395358,0.212537103,0
11,72,94,0.61950879,0.126980405,0.087357158,0.014531207,0.217995773,0
12,72,94,0.61950879,0.1076461,0.079204963,0.010213694,0.191759633,0
13,72,94,0.61950879,0.084010837,0.097531302,0.013825801,0.218157986,0
14,72,94,0.61950879,0.110999421,0.11401357,0.015078451,0.143292403,0
15,72,94,0.61950879,0.102934183,0.122477749,0.021068732,0.191285439,0
16,72,94,0.61950879,0.094390619,0.086733381,0.013700214,0.203910962,0
17,72,94,0.61950879,0.092762778,0.076774411,0.017554422,0.231827473,0
18,72,94,0.61950879,0.094506752,0.085834324,0.013538259,0.199847767,0
19,72,94,0.61950879,0.093202368,0.091505756,0.008591746,0.177615299,0
